sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
36,uniform,0.289640,0.005930,1,2.517589,0.015539,1,0.220985,0.000154,1,0.287545,0.006761,1,-0.056125,400,137
37,uniform,0.448186,0.000070,1,3.606711,0.000716,1,0.208392,0.000928,1,0.446814,0.000097,1,-0.070378,400,159
38,uniform,0.340428,0.001538,1,2.820175,0.006970,1,0.272951,0.000000,1,0.340444,0.001746,1,-0.061329,400,144
39,uniform,0.460705,0.000010,1,3.112641,0.002164,1,0.268923,0.000000,1,0.467202,0.000009,1,-0.065614,400,134
40,uniform,0.151329,0.164590,0,1.351621,0.189086,0,0.267049,0.000016,1,0.148489,0.177750,0,-0.059640,400,151
41,uniform,0.344377,0.001258,1,2.633333,0.005742,1,0.188607,0.000817,1,0.339075,0.001798,1,-0.058721,400,155
42,uniform,0.230393,0.017893,1,1.585390,0.090650,0,0.115275,0.054814,0,0.231494,0.018733,1,-0.061366,400,152
43,uniform,0.231627,0.028120,1,2.140054,0.028484,1,0.209948,0.000305,1,0.228074,0.034414,1,-0.075998,400,151
44,uniform,0.270338,0.007230,1,2.167901,0.021094,1,0.188228,0.000353,1,0.273403,0.007682,1,-0.074137,400,144
45,uniform,0.283858,0.005422,1,2.522910,0.009392,1,0.083891,0.164079,0,0.279683,0.006931,1,-0.057811,400,152
46,uniform,0.419006,0.000066,1,3.748055,0.000270,1,0.257876,0.000595,1,0.413905,0.000094,1,-0.047568,400,129
47,uniform,0.297205,0.001689,1,2.714181,0.002611,1,0.155955,0.007613,1,0.293643,0.002309,1,-0.082885,400,145
48,uniform,0.264709,0.017387,1,2.645770,0.010770,1,0.209148,0.003796,1,0.264716,0.019361,1,-0.076718,400,133
49,uniform,0.313108,0.001946,1,2.967128,0.001630,1,0.297112,0.000001,1,0.307284,0.002728,1,-0.073586,400,145
50,uniform,0.477453,0.000020,1,4.320016,0.000027,1,0.350607,0.000000,1,0.472669,0.000034,1,-0.072761,400,147
51,uniform,0.153715,0.114529,0,0.364006,0.683785,0,0.220918,0.000063,1,0.154199,0.119634,0,-0.073131,400,148
52,uniform,0.280821,0.009463,1,3.206307,0.001611,1,0.203948,0.001039,1,0.268233,0.014832,1,-0.074902,400,147
53,uniform,0.352096,0.000550,1,3.614844,0.000168,1,0.345554,0.006676,1,0.343296,0.000945,1,-0.074603,400,156
54,uniform,0.131844,0.195251,0,1.592267,0.106407,0,0.196206,0.000992,1,0.131230,0.201311,0,-0.051392,400,139
55,uniform,0.311825,0.002580,1,3.166519,0.001852,1,0.211880,0.000018,1,0.310269,0.002989,1,-0.050976,400,129
56,uniform,0.201906,0.035531,1,1.816379,0.041680,1,0.236320,0.077675,0,0.195912,0.044983,1,-0.065129,400,153
57,uniform,0.238079,0.020472,1,2.339868,0.019085,1,0.177131,0.004951,1,0.237386,0.022862,1,-0.075893,400,122
58,uniform,0.295916,0.004333,1,1.984443,0.035433,1,0.395532,0.003931,1,0.299194,0.004479,1,-0.058572,400,154
59,uniform,0.195144,0.072551,0,1.872693,0.048552,1,0.320587,0.003128,1,0.190589,0.086707,0,-0.081090,400,156
60,uniform,0.375210,0.000207,1,3.258335,0.000355,1,0.301118,0.000001,1,0.367769,0.000362,1,-0.072873,400,155
61,uniform,0.194846,0.053848,0,2.171863,0.024444,1,0.293375,0.000026,1,0.188497,0.065570,0,-0.054054,400,151
62,uniform,0.135102,0.167195,0,0.964575,0.314542,0,0.271410,0.001080,1,0.139051,0.159869,0,-0.066401,400,140
63,uniform,0.120069,0.218700,0,1.736544,0.072607,0,0.252529,0.000003,1,0.114732,0.244103,0,-0.055116,400,138
64,uniform,0.354522,0.000430,1,3.339964,0.000359,1,0.242124,0.000006,1,0.349187,0.000690,1,-0.082233,400,150
65,uniform,0.384939,0.000147,1,3.428728,0.000274,1,0.322037,0.000864,1,0.381693,0.000220,1,-0.082041,400,150
66,uniform,0.328207,0.000569,1,3.611677,0.000074,1,0.334499,0.000243,1,0.324021,0.000842,1,-0.091621,400,128
67,uniform,0.109477,0.286352,0,2.621820,0.010257,1,0.268158,0.000000,1,0.095090,0.358434,0,-0.044269,400,134
68,uniform,0.341361,0.000490,1,3.548013,0.000232,1,0.257880,0.000003,1,0.335782,0.000705,1,-0.054556,400,137
69,uniform,0.347279,0.000582,1,2.962560,0.001552,1,0.301552,0.000582,1,0.343975,0.000817,1,-0.075131,400,138
70,uniform,0.280392,0.008406,1,1.118038,0.262462,0,0.231871,0.001370,1,0.286957,0.007755,1,-0.060614,400,149
71,uniform,0.372827,0.000160,1,3.643702,0.000068,1,0.243637,0.000067,1,0.370695,0.000247,1,-0.085639,400,143
72,uniform,0.336389,0.000670,1,2.644806,0.005333,1,0.276652,0.000010,1,0.336727,0.000735,1,-0.044751,400,161
73,uniform,0.440375,0.000006,1,3.931493,0.000028,1,0.346992,0.001677,1,0.438896,0.000009,1,-0.070321,400,142
74,uniform,0.365072,0.000182,1,3.430402,0.000236,1,0.210473,0.119894,0,0.359577,0.000294,1,-0.068200,400,141
75,uniform,0.365318,0.000601,1,2.892237,0.003201,1,0.220896,0.003417,1,0.368338,0.000654,1,-0.057717,400,156
